instance,method,run,seed,makespan,decode_calls,time,lower_bound,optimum,optimum_source,gap
mini3,Loc. Search,0,7,11,200000,0.878,10,11,bruteforce,0.0
mini3,Loc. Search,1,1007,11,200000,0.871,10,11,bruteforce,0.0
mini3,Loc. Search,2,2007,11,200000,0.891,10,11,bruteforce,0.0
mini3,Loc. Search,3,3007,11,200000,0.83,10,11,bruteforce,0.0
mini3,Loc. Search,4,4007,11,200000,0.832,10,11,bruteforce,0.0
mini3,Loc. Search,5,5007,11,200000,0.931,10,11,bruteforce,0.0
mini3,Loc. Search,6,6007,11,200000,0.937,10,11,bruteforce,0.0
mini3,Loc. Search,7,7007,11,200000,0.992,10,11,bruteforce,0.0
mini3,Loc. Search,8,8007,11,200000,0.955,10,11,bruteforce,0.0
mini3,Loc. Search,9,9007,11,200000,0.98,10,11,bruteforce,0.0
mini3,Loc. Search,10,10007,11,200000,1.028,10,11,bruteforce,0.0
mini3,Loc. Search,11,11007,11,200000,0.947,10,11,bruteforce,0.0
mini3,Loc. Search,12,12007,11,200000,0.95,10,11,bruteforce,0.0
mini3,Loc. Search,13,13007,11,200000,0.91,10,11,bruteforce,0.0
mini3,Loc. Search,14,14007,11,200000,1.019,10,11,bruteforce,0.0
mini3,Loc. Search,15,15007,11,200000,0.888,10,11,bruteforce,0.0
mini3,Loc. Search,16,16007,11,200000,1.034,10,11,bruteforce,0.0
mini3,Loc. Search,17,17007,11,200000,0.982,10,11,bruteforce,0.0
mini3,Loc. Search,18,18007,11,200000,1.037,10,11,bruteforce,0.0
mini3,Loc. Search,19,19007,11,200000,0.89,10,11,bruteforce,0.0
mini3,Loc. Search,20,20007,11,200000,0.942,10,11,bruteforce,0.0
mini3,Loc. Search,21,21007,11,200000,1.008,10,11,bruteforce,0.0
mini3,Loc. Search,22,22007,11,200000,0.967,10,11,bruteforce,0.0
mini3,Loc. Search,23,23007,11,200000,0.999,10,11,bruteforce,0.0
mini3,Loc. Search,24,24007,11,200000,1.002,10,11,bruteforce,0.0
mini3,Loc. Search,25,25007,11,200000,1.082,10,11,bruteforce,0.0
mini3,Loc. Search,26,26007,11,200000,0.965,10,11,bruteforce,0.0
mini3,Loc. Search,27,27007,11,200000,0.929,10,11,bruteforce,0.0
mini3,Loc. Search,28,28007,11,200000,0.948,10,11,bruteforce,0.0
mini3,Loc. Search,29,29007,11,200000,0.924,10,11,bruteforce,0.0
mini3,Annealing,0,7,11,200000,1.136,10,11,bruteforce,0.0
mini3,Annealing,1,1007,11,200000,1.354,10,11,bruteforce,0.0
mini3,Annealing,2,2007,11,200000,1.315,10,11,bruteforce,0.0
mini3,Annealing,3,3007,11,200000,1.227,10,11,bruteforce,0.0
mini3,Annealing,4,4007,11,200000,1.375,10,11,bruteforce,0.0
mini3,Annealing,5,5007,11,200000,1.269,10,11,bruteforce,0.0
mini3,Annealing,6,6007,11,200000,1.285,10,11,bruteforce,0.0
mini3,Annealing,7,7007,11,200000,1.25,10,11,bruteforce,0.0
mini3,Annealing,8,8007,11,200000,1.159,10,11,bruteforce,0.0
mini3,Annealing,9,9007,11,200000,1.316,10,11,bruteforce,0.0
mini3,Annealing,10,10007,11,200000,1.28,10,11,bruteforce,0.0
mini3,Annealing,11,11007,11,200000,1.287,10,11,bruteforce,0.0
mini3,Annealing,12,12007,11,200000,1.357,10,11,bruteforce,0.0
mini3,Annealing,13,13007,11,200000,1.284,10,11,bruteforce,0.0
mini3,Annealing,14,14007,11,200000,1.204,10,11,bruteforce,0.0
mini3,Annealing,15,15007,11,200000,1.369,10,11,bruteforce,0.0
mini3,Annealing,16,16007,11,200000,1.358,10,11,bruteforce,0.0
mini3,Annealing,17,17007,11,200000,1.321,10,11,bruteforce,0.0
mini3,Annealing,18,18007,11,200000,1.349,10,11,bruteforce,0.0
mini3,Annealing,19,19007,11,200000,1.326,10,11,bruteforce,0.0
mini3,Annealing,20,20007,11,200000,1.359,10,11,bruteforce,0.0
mini3,Annealing,21,21007,11,200000,1.317,10,11,bruteforce,0.0
mini3,Annealing,22,22007,11,200000,1.168,10,11,bruteforce,0.0
mini3,Annealing,23,23007,11,200000,1.313,10,11,bruteforce,0.0
mini3,Annealing,24,24007,11,200000,1.252,10,11,bruteforce,0.0
mini3,Annealing,25,25007,11,200000,1.255,10,11,bruteforce,0.0
mini3,Annealing,26,26007,11,200000,1.238,10,11,bruteforce,0.0
mini3,Annealing,27,27007,11,200000,1.245,10,11,bruteforce,0.0
mini3,Annealing,28,28007,11,200000,1.278,10,11,bruteforce,0.0
mini3,Annealing,29,29007,11,200000,1.284,10,11,bruteforce,0.0
mini3,VNS,0,7,11,200000,0.91,10,11,bruteforce,0.0
mini3,VNS,1,1007,11,200000,0.861,10,11,bruteforce,0.0
mini3,VNS,2,2007,11,200000,0.951,10,11,bruteforce,0.0
mini3,VNS,3,3007,11,200000,1.047,10,11,bruteforce,0.0
mini3,VNS,4,4007,11,200000,0.978,10,11,bruteforce,0.0
mini3,VNS,5,5007,11,200000,0.964,10,11,bruteforce,0.0
mini3,VNS,6,6007,11,200000,1.022,10,11,bruteforce,0.0
mini3,VNS,7,7007,11,200000,0.936,10,11,bruteforce,0.0
mini3,VNS,8,8007,11,200000,1.048,10,11,bruteforce,0.0
mini3,VNS,9,9007,11,200000,0.988,10,11,bruteforce,0.0
mini3,VNS,10,10007,11,200000,1.047,10,11,bruteforce,0.0
mini3,VNS,11,11007,11,200000,1.017,10,11,bruteforce,0.0
mini3,VNS,12,12007,11,200000,1.067,10,11,bruteforce,0.0
mini3,VNS,13,13007,11,200000,1.029,10,11,bruteforce,0.0
mini3,VNS,14,14007,11,200000,1.016,10,11,bruteforce,0.0
mini3,VNS,15,15007,11,200000,0.927,10,11,bruteforce,0.0
mini3,VNS,16,16007,11,200000,1.007,10,11,bruteforce,0.0
mini3,VNS,17,17007,11,200000,0.971,10,11,bruteforce,0.0
mini3,VNS,18,18007,11,200000,1.004,10,11,bruteforce,0.0
mini3,VNS,19,19007,11,200000,0.94,10,11,bruteforce,0.0
mini3,VNS,20,20007,11,200000,0.966,10,11,bruteforce,0.0
mini3,VNS,21,21007,11,200000,0.967,10,11,bruteforce,0.0
mini3,VNS,22,22007,11,200000,1.062,10,11,bruteforce,0.0
mini3,VNS,23,23007,11,200000,1.054,10,11,bruteforce,0.0
mini3,VNS,24,24007,11,200000,1.004,10,11,bruteforce,0.0
mini3,VNS,25,25007,11,200000,1.022,10,11,bruteforce,0.0
mini3,VNS,26,26007,11,200000,0.97,10,11,bruteforce,0.0
mini3,VNS,27,27007,11,200000,0.962,10,11,bruteforce,0.0
mini3,VNS,28,28007,11,200000,0.962,10,11,bruteforce,0.0
mini3,VNS,29,29007,11,200000,0.98,10,11,bruteforce,0.0
mini3,GA,0,7,11,200001,3.752,10,11,bruteforce,0.0
mini3,GA,1,1007,11,200001,3.619,10,11,bruteforce,0.0
mini3,GA,2,2007,11,200001,3.624,10,11,bruteforce,0.0
mini3,GA,3,3007,11,200001,3.55,10,11,bruteforce,0.0
mini3,GA,4,4007,11,200001,3.652,10,11,bruteforce,0.0
mini3,GA,5,5007,11,200001,3.65,10,11,bruteforce,0.0
mini3,GA,6,6007,11,200001,3.865,10,11,bruteforce,0.0
mini3,GA,7,7007,11,200001,3.604,10,11,bruteforce,0.0
mini3,GA,8,8007,11,200001,3.717,10,11,bruteforce,0.0
mini3,GA,9,9007,11,200001,3.531,10,11,bruteforce,0.0
mini3,GA,10,10007,11,200001,3.688,10,11,bruteforce,0.0
mini3,GA,11,11007,11,200001,3.556,10,11,bruteforce,0.0
mini3,GA,12,12007,11,200001,3.478,10,11,bruteforce,0.0
mini3,GA,13,13007,11,200001,3.468,10,11,bruteforce,0.0
