instance,method,budget,decode_calls,best,average,optimum,time
ft06,annealing,1000,5000,55,56.6,55,0.1
ft06,annealing,2682,13410,55,55.0,55,0.2
ft06,annealing,7196,35980,55,55.0,55,0.6
ft06,annealing,19306,96530,55,55.0,55,1.6
ft06,annealing,51794,258970,55,55.0,55,4.1
ft06,annealing,138949,694745,55,55.0,55,10.4
ft06,annealing,372759,1863795,55,55.0,55,26.5
ft06,annealing,1000000,5000000,55,55.0,55,72.2
ft06,vns,1000,5000,55,58.8,55,0.1
ft06,vns,2682,13410,55,57.6,55,0.2
ft06,vns,7196,35980,55,56.2,55,0.5
ft06,vns,19306,96530,55,55.0,55,1.4
ft06,vns,51794,258970,55,55.6,55,3.5
ft06,vns,138949,694745,55,55.0,55,8.9
ft06,vns,372759,1863795,55,55.0,55,23.1
ft06,vns,1000000,5000000,55,55.0,55,59.9
ft06,ga,1000,5005,58,58.8,55,0.2
ft06,ga,2682,13505,55,56.4,55,0.5
ft06,ga,7196,36005,55,57.0,55,1.3
ft06,ga,19306,96755,55,56.2,55,3.8
ft06,ga,51794,259005,55,55.0,55,9.9
ft06,ga,138949,694755,55,55.0,55,26.7
ft06,ga,372759,1864005,55,55.6,55,69.9
ft06,ga,1000000,5000005,55,55.0,55,196.9
ft06,local_search,1000,5000,55,64.2,55,0.1
ft06,local_search,2682,13410,55,56.4,55,0.2
ft06,local_search,7196,35980,55,56.0,55,0.4
ft06,local_search,19306,96530,55,55.8,55,1.1
ft06,local_search,51794,258970,55,55.0,55,3.0
ft06,local_search,138949,694745,55,55.0,55,8.1
ft06,local_search,372759,1863795,55,55.0,55,21.3
ft06,local_search,1000000,5000000,55,55.0,55,59.4
ft10,annealing,1000,5000,1075,1117.8,930,0.2
ft10,annealing,2682,13410,1003,1056.2,930,0.5
ft10,annealing,7196,35980,1006,1031.4,930,1.4
ft10,annealing,19306,96530,986,1013.8,930,3.8
ft10,annealing,51794,258970,977,999.0,930,9.1
ft10,annealing,138949,694745,930,958.0,930,23.8
ft10,annealing,372759,1863795,930,948.8,930,67.9
ft10,annealing,1000000,5000000,930,939.8,930,172.4
ft10,vns,1000,5000,1202,1316.4,930,0.2
ft10,vns,2682,13410,1183,1234.0,930,0.5
ft10,vns,7196,35980,1107,1190.6,930,1.2
ft10,vns,19306,96530,1051,1139.8,930,3.3
ft10,vns,51794,258970,1050,1096.2,930,8.6
ft10,vns,138949,694745,1005,1028.0,930,22.7
ft10,vns,372759,1863795,975,1006.0,930,63.1
ft10,vns,1000000,5000000,959,987.0,930,168.8
ft10,ga,1000,5005,1170,1196.0,930,0.5
ft10,ga,2682,13505,1080,1137.0,930,1.3
ft10,ga,7196,36005,1066,1093.2,930,3.4
ft10,ga,19306,96755,1014,1068.2,930,8.7
ft10,ga,51794,259005,1001,1034.0,930,24.0
ft10,ga,138949,694755,991,1019.6,930,67.0
ft10,ga,372759,1864005,978,1015.4,930,184.9
ft10,ga,1000000,5000005,970,989.8,930,471.8
ft10,local_search,1000,5000,1348,1476.2,930,0.2
ft10,local_search,2682,13410,1348,1466.0,930,0.4
ft10,local_search,7196,35980,1287,1349.6,930,1.1
ft10,local_search,19306,96530,1117,1211.4,930,3.1
ft10,local_search,51794,258970,1042,1114.0,930,8.7
ft10,local_search,138949,694745,1033,1064.6,930,23.3
ft10,local_search,372759,1863795,1005,1042.2,930,62.5
ft10,local_search,1000000,5000000,991,1014.2,930,164.0
ft20,annealing,1000,5000,1300,1355.2,1165,0.2
ft20,annealing,2682,13410,1272,1309.6,1165,0.5
ft20,annealing,7196,35980,1246,1255.6,1165,1.2
ft20,annealing,19306,96530,1196,1226.6,1165,3.3
ft20,annealing,51794,258970,1182,1208.4,1165,8.8
ft20,annealing,138949,694745,1178,1191.6,1165,24.1
ft20,annealing,372759,1863795,1178,1181.2,1165,65.7
ft20,annealing,1000000,5000000,1178,1180.8,1165,177.1
ft20,vns,1000,5000,1504,1662.6,1165,0.2
ft20,vns,2682,13410,1458,1565.4,1165,0.4
ft20,vns,7196,35980,1395,1493.4,1165,1.1
ft20,vns,19306,96530,1338,1396.4,1165,3.2
ft20,vns,51794,258970,1246,1281.6,1165,8.5
ft20,vns,138949,694745,1253,1275.0,1165,23.4
ft20,vns,372759,1863795,1189,1219.0,1165,62.0
ft20,vns,1000000,5000000,1180,1194.6,1165,167.9
ft20,ga,1000,5005,1474,1527.6,1165,0.4
ft20,ga,2682,13505,1451,1465.6,1165,1.2
ft20,ga,7196,36005,1335,1367.2,1165,3.2
ft20,ga,19306,96755,1278,1318.0,1165,8.5
ft20,ga,51794,259005,1258,1285.6,1165,23.1
ft20,ga,138949,694755,1191,1222.0,1165,64.2
ft20,ga,372759,1864005,1196,1208.4,1165,170.6
ft20,ga,1000000,5000005,1180,1189.0,1165,449.9
ft20,local_search,1000,5000,1742,1894.6,1165,0.2
ft20,local_search,2682,13410,1742,1879.8,1165,0.5
ft20,local_search,7196,35980,1620,1712.6,1165,1.2
ft20,local_search,19306,96530,1498,1560.4,1165,3.3
ft20,local_search,51794,258970,1307,1387.0,1165,8.8
ft20,local_search,138949,694745,1276,1316.2,1165,22.3
ft20,local_search,372759,1863795,1276,1295.6,1165,60.3
ft20,local_search,1000000,5000000,1234,1259.0,1165,172.9
