instance,method,neighborhood,run,seed,makespan,decode_calls,time,optimum
ft06,local_search,swap,0,7,55,200000,2.89,55
ft06,local_search,swap,1,1007,55,200000,2.8,55
ft06,local_search,swap,2,2007,55,200000,2.92,55
ft06,local_search,swap,3,3007,55,200000,2.86,55
ft06,local_search,swap,4,4007,55,200000,3.24,55
ft06,local_search,swap,5,5007,55,200000,2.87,55
ft06,local_search,swap,6,6007,55,200000,2.82,55
ft06,local_search,swap,7,7007,55,200000,2.62,55
ft06,local_search,swap,8,8007,55,200000,2.83,55
ft06,local_search,swap,9,9007,55,200000,2.81,55
ft06,local_search,n1,0,7,55,200000,4.17,55
ft06,local_search,n1,1,1007,55,200000,4.03,55
ft06,local_search,n1,2,2007,55,200000,4.26,55
ft06,local_search,n1,3,3007,55,200000,3.7,55
ft06,local_search,n1,4,4007,55,200000,4.08,55
ft06,local_search,n1,5,5007,55,200000,3.94,55
ft06,local_search,n1,6,6007,55,200000,3.8,55
ft06,local_search,n1,7,7007,55,200000,3.95,55
ft06,local_search,n1,8,8007,55,200000,3.78,55
ft06,local_search,n1,9,9007,55,200000,3.75,55
ft06,annealing,swap,0,7,55,200000,3.33,55
ft06,annealing,swap,1,1007,55,200000,3.31,55
ft06,annealing,swap,2,2007,55,200000,3.12,55
ft06,annealing,swap,3,3007,55,200000,3.14,55
ft06,annealing,swap,4,4007,55,200000,3.08,55
ft06,annealing,swap,5,5007,55,200000,3.27,55
ft06,annealing,swap,6,6007,55,200000,3.12,55
ft06,annealing,swap,7,7007,55,200000,3.16,55
ft06,annealing,swap,8,8007,55,200000,3.14,55
ft06,annealing,swap,9,9007,55,200000,3.34,55
ft06,annealing,n1,0,7,55,200000,8.99,55
ft06,annealing,n1,1,1007,55,200000,9.76,55
ft06,annealing,n1,2,2007,55,200000,9.56,55
ft06,annealing,n1,3,3007,55,200000,8.87,55
ft06,annealing,n1,4,4007,55,200000,9.04,55
ft06,annealing,n1,5,5007,55,200000,9.08,55
ft06,annealing,n1,6,6007,55,200000,9.79,55
ft06,annealing,n1,7,7007,55,200000,9.67,55
ft06,annealing,n1,8,8007,55,200000,9.48,55
ft06,annealing,n1,9,9007,55,200000,9.3,55
ft10,local_search,swap,0,7,1049,200000,6.83,930
ft10,local_search,swap,1,1007,1095,200000,6.81,930
ft10,local_search,swap,2,2007,1054,200000,7.14,930
ft10,local_search,swap,3,3007,1002,200000,6.9,930
ft10,local_search,swap,4,4007,1063,200000,6.88,930
ft10,local_search,swap,5,5007,1002,200000,6.95,930
ft10,local_search,swap,6,6007,1026,200000,7.31,930
ft10,local_search,swap,7,7007,1086,200000,6.92,930
ft10,local_search,swap,8,8007,1086,200000,7.21,930
ft10,local_search,swap,9,9007,1042,200000,7.25,930
ft10,local_search,n1,0,7,1078,200000,8.19,930
ft10,local_search,n1,1,1007,1057,200000,7.97,930
ft10,local_search,n1,2,2007,1060,200000,8.35,930
ft10,local_search,n1,3,3007,1031,200000,8.45,930
ft10,local_search,n1,4,4007,1081,200000,8.44,930
ft10,local_search,n1,5,5007,1068,200000,8.22,930
ft10,local_search,n1,6,6007,1076,200000,8.31,930
ft10,local_search,n1,7,7007,1057,200000,8.59,930
ft10,local_search,n1,8,8007,1050,200000,8.72,930
ft10,local_search,n1,9,9007,1078,200000,8.34,930
ft10,annealing,swap,0,7,951,200000,7.29,930
ft10,annealing,swap,1,1007,951,200000,7.45,930
ft10,annealing,swap,2,2007,951,200000,7.38,930
ft10,annealing,swap,3,3007,966,200000,7.21,930
ft10,annealing,swap,4,4007,971,200000,7.25,930
ft10,annealing,swap,5,5007,952,200000,7.31,930
ft10,annealing,swap,6,6007,955,200000,7.02,930
ft10,annealing,swap,7,7007,962,200000,7.17,930
ft10,annealing,swap,8,8007,957,200000,7.01,930
ft10,annealing,swap,9,9007,951,200000,6.99,930
ft10,annealing,n1,0,7,1022,200000,22.51,930
ft10,annealing,n1,1,1007,1036,200000,23.04,930
ft10,annealing,n1,2,2007,974,200000,22.47,930
ft10,annealing,n1,3,3007,1005,200000,21.95,930
ft10,annealing,n1,4,4007,998,200000,22.63,930
ft10,annealing,n1,5,5007,973,200000,22.95,930
ft10,annealing,n1,6,6007,978,200000,22.8,930
ft10,annealing,n1,7,7007,949,200000,23.03,930
ft10,annealing,n1,8,8007,1042,200000,23.2,930
ft10,annealing,n1,9,9007,1033,200000,23.08,930
ft20,local_search,swap,0,7,1327,200000,6.83,1165
ft20,local_search,swap,1,1007,1361,200000,6.92,1165
ft20,local_search,swap,2,2007,1288,200000,7.12,1165
ft20,local_search,swap,3,3007,1339,200000,7.26,1165
ft20,local_search,swap,4,4007,1333,200000,7.76,1165
ft20,local_search,swap,5,5007,1250,200000,7.47,1165
ft20,local_search,swap,6,6007,1312,200000,7.33,1165
ft20,local_search,swap,7,7007,1285,200000,7.31,1165
ft20,local_search,swap,8,8007,1225,200000,7.33,1165
ft20,local_search,swap,9,9007,1331,200000,6.87,1165
ft20,local_search,n1,0,7,1447,200000,7.7,1165
ft20,local_search,n1,1,1007,1455,200000,6.91,1165
ft20,local_search,n1,2,2007,1429,200000,7.64,1165
ft20,local_search,n1,3,3007,1396,200000,7.03,1165
ft20,local_search,n1,4,4007,1392,200000,7.18,1165
ft20,local_search,n1,5,5007,1443,200000,7.63,1165
ft20,local_search,n1,6,6007,1447,200000,7.65,1165
ft20,local_search,n1,7,7007,1445,200000,7.61,1165
ft20,local_search,n1,8,8007,1433,200000,8.03,1165
ft20,local_search,n1,9,9007,1425,200000,7.91,1165
ft20,annealing,swap,0,7,1180,200000,7.14,1165
ft20,annealing,swap,1,1007,1192,200000,7.35,1165
ft20,annealing,swap,2,2007,1192,200000,7.44,1165
ft20,annealing,swap,3,3007,1178,200000,7.32,1165
ft20,annealing,swap,4,4007,1199,200000,7.51,1165
ft20,annealing,swap,5,5007,1179,200000,7.29,1165
ft20,annealing,swap,6,6007,1178,200000,7.34,1165
ft20,annealing,swap,7,7007,1178,200000,6.99,1165
ft20,annealing,swap,8,8007,1180,200000,7.18,1165
ft20,annealing,swap,9,9007,1165,200000,7.27,1165
ft20,annealing,n1,0,7,1208,200000,25.36,1165
ft20,annealing,n1,1,1007,1212,200000,24.62,1165
ft20,annealing,n1,2,2007,1254,200000,24.56,1165
ft20,annealing,n1,3,3007,1240,200000,24.7,1165
ft20,annealing,n1,4,4007,1209,200000,24.03,1165
ft20,annealing,n1,5,5007,1236,200000,22.75,1165
ft20,annealing,n1,6,6007,1234,200000,24.74,1165
ft20,annealing,n1,7,7007,1206,200000,22.32,1165
ft20,annealing,n1,8,8007,1193,200000,23.87,1165
ft20,annealing,n1,9,9007,1245,200000,23.34,1165
