instance,method,parameter,value,run,seed,makespan,decode_calls,time,optimum
la03,annealing,T0,5,0,7,597,200000,4.928015008999864,597
la03,annealing,T0,5,1,1007,597,200000,4.784999790999791,597
la03,annealing,T0,5,2,2007,597,200000,4.700643668999874,597
la03,annealing,T0,5,3,3007,597,200000,4.6692433569996865,597
la03,annealing,T0,5,4,4007,617,200000,4.776536811999904,597
la03,annealing,T0,5,5,5007,604,200000,4.492708466999829,597
la03,annealing,T0,5,6,6007,603,200000,4.0036257350002415,597
la03,annealing,T0,5,7,7007,614,200000,4.347340117000385,597
la03,annealing,T0,5,8,8007,603,200000,4.254625874999874,597
la03,annealing,T0,5,9,9007,597,200000,4.313180121000187,597
la03,annealing,T0,20,0,7,604,200000,4.007090199000231,597
la03,annealing,T0,20,1,1007,603,200000,3.8524887409994335,597
la03,annealing,T0,20,2,2007,604,200000,3.772493064000628,597
la03,annealing,T0,20,3,3007,603,200000,3.8134638869996706,597
la03,annealing,T0,20,4,4007,603,200000,4.20502064899938,597
la03,annealing,T0,20,5,5007,603,200000,4.32003752699984,597
la03,annealing,T0,20,6,6007,604,200000,4.47943098199994,597
la03,annealing,T0,20,7,7007,597,200000,4.213715487999252,597
la03,annealing,T0,20,8,8007,597,200000,4.0160473269997965,597
la03,annealing,T0,20,9,9007,603,200000,4.119854611999472,597
la03,annealing,T0,50,0,7,597,200000,4.118190485999548,597
la03,annealing,T0,50,1,1007,597,200000,3.8200592610000967,597
la03,annealing,T0,50,2,2007,603,200000,3.682108171999971,597
la03,annealing,T0,50,3,3007,597,200000,3.3090751559993805,597
la03,annealing,T0,50,4,4007,604,200000,3.2886757940004827,597
la03,annealing,T0,50,5,5007,617,200000,3.173769457999697,597
la03,annealing,T0,50,6,6007,617,200000,3.0128310539994345,597
la03,annealing,T0,50,7,7007,603,200000,3.0125816749996375,597
la03,annealing,T0,50,8,8007,604,200000,2.9799050999999963,597
la03,annealing,T0,50,9,9007,597,200000,2.917515588000242,597
la03,annealing,T0,100,0,7,603,200000,2.9288395129997298,597
la03,annealing,T0,100,1,1007,603,200000,2.901535662000242,597
