instance,method,run,seed,makespan,decode_calls,time,lower_bound,optimum,optimum_source,gap,method_label
mini3,local_search,0,7,11,200000,0.878,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,1,1007,11,200000,0.871,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,2,2007,11,200000,0.891,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,3,3007,11,200000,0.83,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,4,4007,11,200000,0.832,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,5,5007,11,200000,0.931,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,6,6007,11,200000,0.937,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,7,7007,11,200000,0.992,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,8,8007,11,200000,0.955,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,9,9007,11,200000,0.98,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,10,10007,11,200000,1.028,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,11,11007,11,200000,0.947,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,12,12007,11,200000,0.95,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,13,13007,11,200000,0.91,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,14,14007,11,200000,1.019,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,15,15007,11,200000,0.888,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,16,16007,11,200000,1.034,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,17,17007,11,200000,0.982,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,18,18007,11,200000,1.037,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,19,19007,11,200000,0.89,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,20,20007,11,200000,0.942,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,21,21007,11,200000,1.008,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,22,22007,11,200000,0.967,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,23,23007,11,200000,0.999,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,24,24007,11,200000,1.002,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,25,25007,11,200000,1.082,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,26,26007,11,200000,0.965,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,27,27007,11,200000,0.929,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,28,28007,11,200000,0.948,10,11,bruteforce,0.0,Loc. Search
mini3,local_search,29,29007,11,200000,0.924,10,11,bruteforce,0.0,Loc. Search
mini3,annealing,0,7,11,200000,1.136,10,11,bruteforce,0.0,Annealing
mini3,annealing,1,1007,11,200000,1.354,10,11,bruteforce,0.0,Annealing
mini3,annealing,2,2007,11,200000,1.315,10,11,bruteforce,0.0,Annealing
mini3,annealing,3,3007,11,200000,1.227,10,11,bruteforce,0.0,Annealing
mini3,annealing,4,4007,11,200000,1.375,10,11,bruteforce,0.0,Annealing
mini3,annealing,5,5007,11,200000,1.269,10,11,bruteforce,0.0,Annealing
mini3,annealing,6,6007,11,200000,1.285,10,11,bruteforce,0.0,Annealing
mini3,annealing,7,7007,11,200000,1.25,10,11,bruteforce,0.0,Annealing
mini3,annealing,8,8007,11,200000,1.159,10,11,bruteforce,0.0,Annealing
mini3,annealing,9,9007,11,200000,1.316,10,11,bruteforce,0.0,Annealing
mini3,annealing,10,10007,11,200000,1.28,10,11,bruteforce,0.0,Annealing
mini3,annealing,11,11007,11,200000,1.287,10,11,bruteforce,0.0,Annealing
mini3,annealing,12,12007,11,200000,1.357,10,11,bruteforce,0.0,Annealing
mini3,annealing,13,13007,11,200000,1.284,10,11,bruteforce,0.0,Annealing
mini3,annealing,14,14007,11,200000,1.204,10,11,bruteforce,0.0,Annealing
mini3,annealing,15,15007,11,200000,1.369,10,11,bruteforce,0.0,Annealing
